title,platform,genre,publisher,vg_score,critic_score,user_score,total_shipped,aisan_sales,north_american_sales,japan_sales,european_sales,global_sales,Production Cost,release_year
Snake Pass,PC,Puzzle,Omega,10,1,10,174,1.8,6.58,4.44,4.43,17.25,1.28,2017
Tom Clancys Ghost Recon  Future Soldier,DS,Shooter,Ubisoft,6,5,9,129,2.74,7.07,3.18,4.26,17.25,5.17,2012
Oddly Enough  Pied Piper,PC,Adventure,Sony Computer Entertainment,6,8,9,71,4.31,3.02,5.89,4.02,17.24,2.33,2011
The Crew 2,PC,Racing,Ubisoft,9,5,10,282,4.18,5.28,2.3,5.48,17.24,1.23,2018
Shepherds Crossing,PS2,Simulation,IBM,7,4,3,278,6.54,2.65,2.35,5.69,17.23,3.33,2008
Left 4 Dead  Crash Course,PC,Shooter,Electronic Arts,7,1,3,148,6.92,1.63,5.79,2.88,17.22,1.48,2009
Canvas,PC,Adventure,IBM,6,6,2,190,5.94,4.58,4.22,7,21.74,3.66,2000
Penny Arcade Adventures  On the Rain Slick Precipice of Darkness Episode Two,PC,Adventure,Activision,2,9,3,37,5.34,4.48,1.93,5.47,17.22,1.57,2008
Second Sight,PC,Adventure,IBM,2,7,7,200,1.52,3.22,1.69,4.08,10.51,2.93,2005
Prisoner of War,PC,Adventure,IBM,9,9,9,113,6.22,3.14,1.99,5.96,17.31,4.51,2002
Superliminal,PS4,Puzzle,Sony Computer Entertainment,6,4,4,239,4.13,4.6,4.8,3.69,17.22,2.76,2020
Penumbra Collection,PC,Adventure,Sony Computer Entertainment,10,4,9,278,5.43,3.28,3.48,5.03,17.22,1.44,2009
NBA 2K12,PS2,Sports,Frontier Developments,7,3,6,209,2.56,4.79,4.7,5.16,17.21,4.41,2011
Second Sight,PS2,Adventure,Sony Computer Entertainment,8,7.9,6,240,3,0.07,4.67,0.05,4.93,4.97,2004
Prisoner of War,PS2,Adventure,Activision,2,9,10,220,7.3,3.88,1.22,3.07,15.47,3,2002
Puzzlegeddon,PC,Puzzle,Ubisoft,9,5,9,48,4.2,4.5,5.9,2.6,17.2,2.66,2008
Amazing Adventures Around The World,PC,Puzzle,Sony Computer Entertainment,5,5,1,110,6.52,4.69,4.61,1.38,17.2,1.69,2008
Tom Clancys Rainbow 6  Patriots,PC,Shooter,Ubisoft,7,7,4,60,2.92,5.93,5.94,2.41,17.2,4.31,2014
Coniclysm,PC,Shooter,IBM,10,6,4,18,1.74,5.27,4.97,5.21,17.19,2.8,2010
MVP 07 NCAA Baseball,PS2,Sports,Electronic Arts,7,8,5,125,1.34,3.65,5.91,6.28,17.18,2.94,2007
Deep Aquarium  Kiseki no Shinkai,DS,Simulation,Electronic Arts,8,4,10,192,7.87,3.12,3.88,2.31,17.18,2.14,2008
Shinsei ni Shite Okasu be Karazu,PC,Adventure,Amazon Game Studios,7,7,7,109,7.1,1.37,5.83,2.88,17.18,3.07,2011
Cradle of Persia,PC,Puzzle,Sony Computer Entertainment,4,5,5,34,5.9,3.33,5.63,2.31,17.17,1.64,2007
Ski and Shoot,PS2,Sports,Sony Computer Entertainment,4,6,6,161,7.9,1.47,5.4,2.4,17.17,2.62,2009
Soul Gambler,PC,Adventure,Ubisoft,9,4,4,0.14,5.2,2.99,2.27,6.71,17.17,3.22,2014
Crazy Machines 2,PC,Puzzle,Activision,9,4,10,5,7.75,5.72,1.45,2.25,17.17,3.11,2008
TOCA Race Driver 2  Ultimate Racing Simulator,PC,Racing,Ubisoft,8,6,4,1,5.97,4.03,2.42,3.56,15.98,3.47,2004
Pro Race Driver,PC,Racing,Sony Computer Entertainment,7,8,6,206,4.79,1.91,2.31,5.52,14.53,2.3,2003
DiRT 5,PS5,Racing,Sony Computer Entertainment,6,10,8,6,6.68,1.41,5.95,3.12,17.16,1.53,2020
IndyCar Series,PC,Racing,Electronic Arts,9,6,7,110,4.82,1.95,1.41,4.37,12.55,5.59,2003
NASCAR Heat Evolution,PC,Racing,Sony Computer Entertainment,9,1,1,59,5.26,4.12,4.2,3.58,17.16,2.96,2016
Kaeru Batake de Tsukamete  Natsu Senbokuryou Sansen ,PS2,Adventure,Sony Computer Entertainment,7,3,8,272,1.57,5.69,3.15,6.75,17.16,5.14,2010
Call of Duty  Black Ops IIII,PS4,Shooter,Activision,9,4,4,282,9.32,4.05,0.5,3.28,17.15,3.2,2018
Aikagi 2,PC,Adventure,Activision,5,8,6,284,7.42,3.33,5.23,1.17,17.15,2.82,2006
Jigsaw Puzzle DS  DS de Meguru Sekai Isan no Tabi,DS,Puzzle,Sony Computer Entertainment,5,4,3,284,4.99,4.16,4.91,3.08,17.14,1.32,2008
EyeToy  Kinetic Combat,PS2,Sports,IBM,9,3,8,243,3.35,2.18,5.32,6.29,17.14,5.96,2006
My Ex Boyfriend the Space Tyrant,Linux,Adventure,Activision,8,7,8,285,5.46,1.82,3.38,6.48,17.14,5.91,2014
Fate Unlimited Codes,PSN,Fighting,Ubisoft,5,7.6,7,76,3.92,4.49,3.19,5.52,17.12,1.84,2009
Monochrome,PSN,Adventure,Activision,8,5,2,41,3.02,4.71,5.49,3.9,17.12,1.12,2010
Love Cupid,PSN,Shooter,Activision,8,3,4,238,7.17,3.48,1.25,5.22,17.12,2.57,2010
Crime Stories  From the Files of Martin Mystere,PC,Adventure,IBM,6,3,6,20,7.96,1.35,3.47,4.34,17.12,2.25,2006
Agatha Christie  Evil Under the Sun,PC,Adventure,Electronic Arts,8,1,8,109,5.35,2.17,3.18,6.42,17.12,2.28,2007
CSI  Crime Scene Investigation Super Pack,PC,Adventure,Ubisoft,4,10,3,38,4.54,4.63,1.45,6.5,17.12,5.56,2008
Brainpipe,PSN,Puzzle,Ubisoft,9,1,4,265,5.84,2.46,2.06,6.75,17.11,4.4,2009
Colin McRae Rally 3,PC,Racing,Ubisoft,3,3,5,220,5.59,1.29,3.06,1.29,11.23,5.97,2003
Colin McRae Rally 2005,PC,Racing,Sony Computer Entertainment,10,6,6,97,3,3.86,4.16,0.01,8.05,1.02,2004
Colin McRae Rally 2.0,PC,Racing,Activision,7,2,6,105,3.63,3.14,4.61,3.71,15.09,3.13,2001
Colin McRae Rally 04,PC,Racing,Electronic Arts,1,1,1,164,3,3.05,3.76,0.01,6.83,2.25,2004
Colin McRae Rally,PC,Racing,Ubisoft,1,9,2,0.14,4.83,1.9,2.7,5.01,14.44,2.67,2000
1nsane,PC,Racing,Sony Computer Entertainment,3,1,5,236,4.68,4.07,2.26,2.21,13.22,1.85,2001
FoxKids.com Micro Maniacs Racing,PS,Racing,Activision,10,10,6,2,3,0.06,3.3,0.04,3.51,1.66,2000
Colin McRae Rally 2.0,PS,Racing,Electronic Arts,9,8.3,1,39,3,0.02,0.02,0.8,1.75,2.8,2000
Blue Toad Murder Files  The Mysteries of Little Riddle   Episode One,PSN,Puzzle,Sony Computer Entertainment,9,3,6,132,1.27,4.76,4.84,6.24,17.11,2.35,2009
TOCA Race Driver 2  Ultimate Racing Simulator,PS2,Racing,Amazon Game Studios,5,4,9,196,3,0.03,4.98,0.02,5.09,1.18,2004
Rally Championship,PS2,Racing,IBM,8,9,1,261,6.01,1.66,4.93,5.87,18.47,5.54,2002
Pro Race Driver,PS2,Racing,Frontier Developments,8,2,10,20,3,0.13,4.16,0.1,4.66,3.19,2002
OlliOlli,PS3,Sports,IBM,6,9,8,134,4.04,4.78,4.13,4.16,17.11,4.86,2014
IndyCar Series,PS2,Racing,Activision,8,4,3,158,3,0.06,2.83,0.05,3.06,3.44,2003
Colin McRae Rally 3,PS2,Racing,Electronic Arts,4,2,9,299,1.4,0.03,0.02,1.05,2.5,1.33,2003
Colin McRae Rally 04,PS2,Racing,Omega,9,5,10,20,3,0.01,0.01,0.71,1.67,3,2003
Ten Pin Alley,PSN,Sports,Omega,2,9,7,215,7.63,3.83,4.33,1.32,17.11,4.54,2009
Killing Floor,PC,Shooter,Sony Computer Entertainment,4,7.5,9,266,3.1,2.68,5.86,5.47,17.11,1.58,2009
Asobi ni Iku yo  Chikyuu Pinchi no Konyaku Sengen,PS2,Adventure,Sony Computer Entertainment,7,9,5,236,5.98,1.28,5.04,4.8,17.1,2.75,2006
FIFA Street 2,PSN,Sports,Frontier Developments,10,4.9,6,163,5.37,1.12,4.43,6.16,17.08,3.9,2011
Simon the Sorcerer 4  Chaos Happens,PC,Adventure,Activision,6,3,4,203,6.21,2.76,4.58,3.53,17.08,2.66,2007
Hitman GO,PC,Puzzle,IBM,9,6,10,50,6.16,5.62,2.58,2.72,17.08,1.55,2016
Toriko no Hime,PC,Adventure,Ubisoft,5,9,8,175,5.51,3.04,2.92,5.6,17.07,2.41,2007
Tokyo Xtreme Racer DRIFT 2,PS2,Racing,Electronic Arts,5,4,4,81,4.21,4.71,1.59,6.56,17.07,2.32,2007
Ferrari  The Race Experience,PSN,Racing,Frontier Developments,10,8,6,1,6.25,3.21,4.44,3.17,17.07,2.28,2011
Street Sk8er,PSN,Sports,Electronic Arts,4,3,3,71,3.02,3.85,5.12,5.08,17.07,3.87,2008
Victorious Boxers 2  Fighting Spirit,PS2,Fighting,Sony Computer Entertainment,8,5,10,143,3.56,4.1,4.6,4.81,17.07,2.49,2006
SkyDrift,PC,Racing,Activision,10,9,7,0.12,6.87,3.71,4.7,1.79,17.07,3.18,2011
Oxygen Not Included,PC,Simulation,Frontier Developments,9,2,1,79,6.61,3.84,4.52,2.1,17.07,4.2,2019
Adventurezator  When Pigs Fly,Linux,Adventure,Frontier Developments,10,4,6,103,5.91,3.12,2.01,6.02,17.06,4.46,2015
Root After and Another,PC,Adventure,Omega,6,9,7,289,2.66,4.03,4.74,5.63,17.06,2.06,2007
Trash Panic,PSN,Puzzle,Amazon Game Studios,7.2,6.8,8,125,7.17,2.97,5.34,1.58,17.06,3.64,2009
Iron Grip  Warlord,PC,Shooter,Sony Computer Entertainment,8,8,9,178,5.5,2.45,2.52,6.59,17.06,1.06,2017
Jolly Rover,PC,Adventure,Ubisoft,7,4,3,240,3.28,3.3,3.68,6.79,17.05,2.03,2010
GRID  8 Ball Pack,PSN,Racing,Activision,5,6,7,247,5.73,4.23,2.74,4.35,17.05,3.2,2008
Love Games  Wai Wai Tennis,PSN,Sports,Frontier Developments,9,10,3,196,7.07,4.57,3.02,2.39,17.05,5.08,2010
World War Z,PC,Shooter,IBM,6,5,4,0.25,3.86,2.32,5.14,5.72,17.04,1.36,2019
Operation Flashpoint  Resistance,PC,Shooter,IBM,9,7,9,268,1.31,3.9,4.1,3.62,12.93,5.8,2002
Prism Ark  Love2 Maximum ,PC,Adventure,IBM,4,4,4,265,3.9,4.36,1.97,6.81,17.04,4.22,2008
Operation Flashpoint  Red Hammer,PC,Shooter,Frontier Developments,9,6,8,26,5.41,4.6,5.55,4.81,20.37,5.59,2002
Silence  The Whispered World 2,PS4,Adventure,Omega,9,8,10,141,6.17,3.71,4.28,2.87,17.03,3.59,2016
Operation Flashpoint  Cold War Crisis,PC,Shooter,Ubisoft,5,10,1,93,5.05,2.36,3.93,6.22,17.56,2.64,2001
Operation Flashpoint  Between the Lines,PC,Shooter,Sony Computer Entertainment,7,6,6,150,6,3.9,5.62,6.91,22.43,4.22,2002
IGI 2  Covert Strike,PC,Shooter,Activision,5,7,8,249,7.86,3.54,4.39,6.24,22.03,1.93,2003
FIFA Soccer 11 (PSP),PSN,Sports,Frontier Developments,8,7,9,40,4.41,4.06,5.53,3.03,17.03,1.15,2010
Lumino City,PC,Adventure,Electronic Arts,8,7,9,235,6.73,5.81,2.27,2.22,17.03,3.86,2015
Wallace & Gromits Grand Adventures Episode 3  Muzzled ,PC,Adventure,Ubisoft,7.3,8,5,117,5.38,6.35,2.32,2.98,17.03,2.69,2009
Echo Night 2,PSN,Adventure,Activision,7,3,7,290,4.71,2.54,3.81,5.96,17.02,2.27,2007
The Snow Queen Quest,PS2,Adventure,Electronic Arts,9,1,5,51,5.27,4.82,1.65,5.28,17.02,2.17,2007
60 seconds ,PC,Simulation,Frontier Developments,6,8,5,57,4.76,1.69,4.71,5.86,17.02,2.77,2015
Petz Dogz 2,PC,Simulation,Ubisoft,3,5,4,160,6.44,2.98,4.64,2.96,17.02,3.24,2007
Lost Chronicles  Fall of Caesar,PC,Puzzle,Electronic Arts,6,8,7,73,1.77,4.39,5.8,5.05,17.01,1.56,2011
Doraemon Story of Seasons,PC,Simulation,Sony Computer Entertainment,6,10,5,227,4.04,1.6,5.88,5.49,17.01,5.76,2019
DS Dengeki Bunko  Iria no Sora  UFO no Natsu I II,DS,Adventure,IBM,4,9,4,120,7.53,3.74,4.63,1.11,17.01,3.49,2007
Winter Sports,PS2,Sports,IBM,3,5,5,288,3.36,4.32,4.27,5.06,17.01,2.34,2006
The Sims 3  Commemorative Edition,PC,Simulation,Electronic Arts,7,3,1,103,4.42,2.01,4.05,6.51,16.99,3.24,2010
Real Bout Garou Densetsu Special  Dominated Mind,PSN,Fighting,Sony Computer Entertainment,4,6,4,29,7.12,5.9,1.21,2.76,16.99,3.79,2007
Chaos on Deponia,PC,Adventure,Amazon Game Studios,7,4,8,0.25,5.93,1.26,4.28,5.51,16.98,1.9,2012
Fatal Fury,PSN,Fighting,Amazon Game Studios,9,7,9,20,4.55,2.67,3.9,5.86,16.98,4.33,2010
Mahjong Tales  Ancient Wisdom,PSN,Puzzle,Amazon Game Studios,6,9,4,259,5.29,4.85,1.72,5.12,16.98,2.07,2009
LMA Manager 2001,PS,Sports,Sony Computer Entertainment,6,5,6,184,5.75,4.76,3.06,6.37,19.94,1.14,2001
Railway Simulator,PC,Simulation,Electronic Arts,8,1,1,30,6.69,5.55,2.45,2.29,16.98,5.1,2013
Mike Tyson Heavyweight Boxing,PS2,Sports,Electronic Arts,2,8,8,168,2.47,2.57,5.57,2.39,13,1.39,2002
Baseball Mania,PS2,Sports,Sony Computer Entertainment,10,2,2,143,6.17,2.18,2,6.63,16.98,5.67,2019
LMA Manager 2006,PS2,Sports,Amazon Game Studios,4,10,2,169,3.25,3.99,4.66,3.73,15.63,3.96,2005
Club Football 2005,PS2,Sports,IBM,2,3,2,241,7.29,4.25,4.25,6.59,22.38,1.23,2004
Club Football,PS2,Sports,Frontier Developments,7,5,6,185,5.18,2.85,2.04,3.23,13.3,5.05,2003
Octodad 2,PC,Adventure,Frontier Developments,7,5,10,26,5.35,1.88,6,3.75,16.98,1.65,2011
Brian Lara International Cricket 2005,PS2,Sports,Sony Computer Entertainment,8,1,6,3,5.66,2.42,4.25,6.36,18.69,1.73,2005
Catherine  Full Body,PS4,Puzzle,Activision,10,8,5,22,7.56,2.85,2.95,3.61,16.97,3.93,2019
NASCAR 14,PC,Racing,Frontier Developments,6,6,1,264,5.87,4.9,2.6,3.6,16.97,2.24,2014
Championship Manager 2007,PS2,Sports,Ubisoft,2,9,9,34,6.21,3.4,4.4,2.96,16.97,4.73,2007
Among The Sleep,PC,Adventure,Electronic Arts,7.2,3,5,0.19,3.8,3.94,3.69,5.54,16.97,1.91,2014
Miramagia,PC,Simulation,Ubisoft,10,4,3,46,2.15,5.69,4.15,4.98,16.97,4.47,2011
Madden NFL 21,PC,Sports,Electronic Arts,9,3,3,38,6.74,1.57,5.93,2.72,16.96,3.85,2020
Zanac X Zanac,PS,Shooter,Activision,4,10,9,51,4.77,3.71,5.37,6.35,20.2,5,2001
FIFA 19,PS4,Sports,Electronic Arts,7,4,1,34,9.15,0.84,0.1,6.87,16.96,4.27,2018
Gain Ground,PC,Shooter,IBM,7,6,3,238,1.08,6.79,4.06,5.03,16.96,1.5,2010
Warhawk (1996),PSN,Simulation,Ubisoft,9,5,2,134,5.2,6.77,1.17,3.82,16.96,4.82,2007
Super Fruit Fall,PS2,Puzzle,Sony Computer Entertainment,1,9,7,243,2.42,5.95,3.13,5.46,16.96,1.17,2006
Know How,DS,Puzzle,Electronic Arts,7,8,2,184,4.06,4.93,1.69,6.27,16.95,1.62,2008
Sniper  Ghost Warrior Contracts,PS4,Shooter,Activision,9,2,5,94,2.89,2.25,4.97,6.84,16.95,5.06,2019
Simple DS Series Vol. 29  The Sports Daishuugou   Yakyuu Tennis Volleyball Futsal Golf,DS,Sports,Frontier Developments,3,3,8,228,6.42,3.24,4.82,2.47,16.95,2.99,2007
Tropico 5,Linux,Simulation,Frontier Developments,7,9,1,163,7.11,1.52,5.38,2.94,16.95,5.12,2014
Boku no Natsuyasumi  Himitsu Taiken,PC,Adventure,Frontier Developments,1,5,8,44,1.62,2.07,2.36,4.87,10.92,5.01,2004
Monster Trucks Nitro 2,PC,Racing,Electronic Arts,9,6,1,196,3.59,4.1,5.81,3.45,16.95,5.19,2010
Nucleus,PSN,Shooter,Omega,10,10,10,186,6.35,2.21,5.59,2.8,16.95,6,2007
Scooby Doo  & Looney Tunes Cartoon Universe  Adventure,PC,Adventure,IBM,7,4,4,140,4.8,5.12,1.22,5.81,16.95,1.15,2014
Subbuteo,DS,Sports,Ubisoft,4,2,4,30,4.7,3.02,5.29,3.93,16.94,1.17,2008
Guilty Gear 2  Overture,PC,Fighting,Ubisoft,6,3,5,228,4.6,2.74,5.64,3.96,16.94,1.54,2016
Seek and Destroy,PS2,Racing,IBM,10,5.6,2,64,1.06,0.52,2,0.4,3.98,4.5,2002
Bubble Trubble,PSN,Puzzle,Activision,8,6,1,207,4.69,1.8,5.34,5.11,16.94,4.42,2009
Road Trip,PS2,Racing,Ubisoft,1,4,4,105,3,0.04,4.46,0.03,4.62,5.41,2002
Gadget Racers,PS2,Racing,Sony Computer Entertainment,2,5,6,259,3,0.04,5.64,0.03,5.79,1,2001
Tumblebugs 2,PC,Puzzle,Activision,4,3,5,193,4.16,1.33,5.63,5.82,16.94,4.13,2008
Bejeweled 2,PSN,Puzzle,Sony Computer Entertainment,3,6,1,63,4.37,7.13,2.93,2.51,16.94,5.69,2009
Hidden Invasion,PS2,Shooter,Activision,5,7,5,17,3,0.04,1.77,0.03,1.92,3.29,2002
Creatures  Raised in Space,PS,Simulation,Electronic Arts,1,6,3,133,2.78,4.09,2.53,2.62,12.02,4.38,2004
Creatures,PS,Simulation,Ubisoft,9,3,9,252,5.72,1.38,1.35,2.72,11.17,5.66,2002
Azada  Ancient Magic,PC,Adventure,Ubisoft,3,2,10,46,3.47,2.76,4.74,5.96,16.93,3.18,2008
NormalTanks,PC,Shooter,Ubisoft,9,3,2,215,5.76,4.79,1.37,5,16.92,5.88,2009
F1 2009,PSN,Racing,Electronic Arts,10,7.4,7,1,6.97,3.4,3.83,2.72,16.92,4.21,2009
Wild Guns Reloaded,PS4,Shooter,Omega,10,1,9,280,4.49,1.74,5.67,5.02,16.92,1.86,2017
WWC  World Wrestling Championship,PS2,Fighting,Frontier Developments,8,2,7,205,5.04,4.74,2.67,4.47,16.92,5.37,2006
The Turing Test,PS4,Puzzle,Frontier Developments,9,5,4,29,5.44,4.39,1.35,5.74,16.92,4.66,2017
The Political Machine 2008,PC,Simulation,Electronic Arts,10,2,8,219,5.68,4.81,2.9,3.53,16.92,2.81,2008
Championship Manager 2007,PC,Sports,Sony Computer Entertainment,1,7,8,43,7.59,4.3,1.64,3.38,16.91,5.96,2006
Red Faction  Armageddon,PC,Shooter,Ubisoft,10,7.3,4,0.79,1.24,7.74,1.06,6.87,16.91,2.81,2011
Galerians,PS,Adventure,IBM,3,2,8,125,3,0.08,2.54,0.06,2.83,5.49,2000
Kemeko Deluxe  DS  Yome to Meka to Otoko to Onna,DS,Adventure,Frontier Developments,2,3,6,279,7.48,2.64,3.33,3.45,16.9,2.22,2009
Ultimate Fighting Championship,PS,Fighting,IBM,6,1,5,192,3,0.14,5.17,0.09,5.65,3.34,2000
Ultimate Fighting Championship  Throwdown,PS2,Fighting,IBM,5,4,4,179,3,0.16,3.34,0.12,3.94,4.32,2002
Kengo  Master of Bushido,PS2,Fighting,Frontier Developments,10,8,8,114,3,0.16,0.06,0.13,0.74,3.94,2001
Doom Eternal,PC,Shooter,Electronic Arts,8,6,3,76,6.34,2.7,5.17,2.69,16.9,3.69,2020
Happy Hippos World Tour,DS,Adventure,Amazon Game Studios,3,1,2,300,4.93,3.73,4.97,3.27,16.9,4.3,2007
Moss,PS4,Adventure,IBM,8,9,7,161,6.82,3.2,5.77,1.11,16.9,1.48,2018
Rocket Mania  Deluxe,PC,Puzzle,Electronic Arts,4,6,4,89,5.28,2.81,4.83,3.98,16.9,4.95,2006
Cake Mania 3,PC,Simulation,Amazon Game Studios,1,2,2,9,7.93,2.07,3.11,3.78,16.89,3.96,2008
Zwei Worter,PC,Adventure,Activision,3,6,2,288,2.42,3.29,5.82,5.35,16.88,3.27,2007
RepKiss,PS4,Adventure,Frontier Developments,6,7,8,166,7.64,1.74,1.44,6.06,16.88,1.48,2017
Mojo ,PS2,Puzzle,Activision,10,2,6,205,3,0.07,4.81,0.05,5.07,1.18,2003
Bullet Candy,PC,Shooter,Frontier Developments,4,2,3,182,3.22,3.05,4.83,5.78,16.88,3.89,2007
Killer Loop,PC,Racing,Ubisoft,6,2,3,81,1.64,2.38,1.5,5.97,11.49,5.02,2000
SnoCross Championship Racing,PS,Racing,Sony Computer Entertainment,8,10,5,233,3,0.52,1.85,0.35,3.65,4.06,2000
Tokyo Xtreme Racer Zero,PS2,Racing,Activision,7,8,10,71,1.5,0.66,0.15,0.52,2.83,5.19,2001
Free Running,PC,Sports,Sony Computer Entertainment,4,3,4,248,2.53,2.1,5.3,6.94,16.87,1.28,2009
Gran Turismo 5,PS3,Racing,Electronic Arts,8,8.3,3,11.95,2.07,3.92,5.24,5.64,16.87,2.6,2010
Tokyo Xtreme Racer 3,PS2,Racing,Electronic Arts,6,8,4,287,3,0.35,0.21,0.27,1.74,2.29,2003
MX World Tour Featuring Jamie Little,PS2,Racing,Ubisoft,5,2,6,266,3,0.08,3.73,0.07,4.05,4.93,2005
Butt Ugly Martians  Zoom or Doom ,PS2,Racing,Sony Computer Entertainment,2,8,2,55,3,0.01,3.02,0.01,3.06,2.18,2003
Blaster Master  Blasting Again,PS,Shooter,Activision,6,7.7,6,254,3,0.14,4.5,0.1,4.99,3.33,2001
Trigger Man,PS2,Shooter,Electronic Arts,4,10,2,48,3,0.08,3.64,0.06,3.94,4.99,2004
Doctor Who  The Adventure Games Episode 2  Blood of the Cybermen,PC,Adventure,Amazon Game Studios,9,10,1,162,1.15,5.08,4.51,6.13,16.87,1.52,2010
Zoo Tycoon  Ultimate Animal Collection,PC,Simulation,Frontier Developments,6,8,4,149,1.02,6.09,4.93,4.83,16.87,3.23,2018
Bad Boys  Miami Takedown,PS2,Shooter,Activision,5,4,9,202,1.15,0.56,4.7,0.44,6.85,5.2,2004
Blokus World Tour,PC,Puzzle,Amazon Game Studios,2,8,3,121,6.28,1.89,4.58,4.11,16.86,1.23,2008
Floras Fruit Farm,PC,Puzzle,Activision,4,4,7,102,7.57,3.91,3.49,1.88,16.85,1.61,2009
Ace Combat 7  Skies Unknown,PC,Shooter,Electronic Arts,6,4,2,197,6.11,2.6,5.27,2.87,16.85,1.71,2019
Artemis Spaceship Bridge Simulator,PC,Simulation,Ubisoft,6,10,4,161,6.9,2.56,3.01,4.37,16.84,4.07,2013
Blue Toad Murder Files  The Mysteries of Little Riddle,PSN,Puzzle,Activision,6,1,1,281,4.09,4.1,2.62,6.03,16.84,2.14,2010
Razor Freestyle Scooter,PS,Sports,Ubisoft,7,3,3,198,3,0.26,1.28,0.17,2.17,3.67,2000
Strike Force Bowling,PS2,Sports,Sony Computer Entertainment,7,10,1,51,3,0.3,1.83,0.24,2.99,2.43,2004
Mystereet Windows  Yasogami Kaoru no Chousen,PC,Adventure,Ubisoft,1,10,8,28,6.83,2.66,2.75,4.59,16.83,5.13,2008
Project Warlock,PS4,Shooter,IBM,7,6,2,255,5.99,2.46,2.78,5.6,16.83,2.93,2020
Pipe Mania,PSN,Puzzle,Electronic Arts,5,2,5,143,6.05,1.27,4.18,5.33,16.83,1.19,2008
Fatal Inertia EX,PSN,Racing,Frontier Developments,7,10,9,228,6.37,1.97,5.97,2.52,16.83,2.82,2008
Professor Layton and the Diabolical Box,DS,Adventure,IBM,9,8.5,4,3.88,6.13,2.95,3.43,4.32,16.83,3.27,2009
BioShock 2  Minervas Den,PSN,Shooter,Frontier Developments,9,2,1,95,5.75,2.5,3.39,5.18,16.82,2.63,2010
Army of Two  The 40th Day,PSN,Shooter,Electronic Arts,8,4.8,4,228,5.19,3.92,3.4,4.31,16.82,2.23,2010
Gradius II  Gofer no Yabou,PSN,Shooter,Activision,8,3,3,115,6.36,4.65,1.34,4.47,16.82,3.28,2010
Roogoo,PC,Puzzle,Amazon Game Studios,2,6,9,23,3.08,5.09,3.56,5.09,16.82,3.58,2008
summer   ,PS2,Adventure,Activision,4,5,2,191,5.24,1.46,5.25,4.86,16.81,3.86,2006
Petz  Horsez 2,PC,Simulation,Ubisoft,2,4,6,254,3.14,4.06,5.91,3.7,16.81,2.91,2007
Hurricane,PC,Simulation,Activision,3,8,5,128,6.37,2.8,3.39,4.24,16.8,3.68,2007
F1 2019,PC,Racing,Electronic Arts,6,4,6,71,4.69,3.65,5,3.46,16.8,5.25,2019
SnoCross 2  Featuring Blair Morgan,PS2,Sports,Activision,2,6,10,52,7.98,1.74,5.03,2.05,16.8,1.57,2007
Valis X  Masako   Mou Hitotsu to Sadame,PC,Adventure,Sony Computer Entertainment,3,1,6,155,4.84,4.55,3.82,3.59,16.8,3.29,2006
Burger Island,PC,Simulation,IBM,9,1,2,298,1.43,7.9,2.47,5,16.8,2.86,2007
X Change R,PC,Adventure,Sony Computer Entertainment,4,2,5,188,1.47,2.4,1.48,6.49,11.84,4.48,2004
X Change Box  2,PC,Adventure,Activision,3,4,10,12,7.81,4.58,5.08,1.98,19.45,1.54,2005
Premier Manager 2006 2007,PC,Sports,IBM,6,6,5,160,7.34,4.1,1.31,4.05,16.8,1.96,2006
X Change 2 R,PC,Adventure,Omega,6,4,4,261,7.21,2.74,2.14,2.82,14.91,2.56,2004
Kunoichiban  Minarai Kunoichi Ninpu Tobari,PC,Adventure,Amazon Game Studios,3,7,10,106,1.09,1.18,4.76,1.49,8.52,2.59,2005
Classic Car Racing,PC,Racing,Amazon Game Studios,6,6,7,224,7.88,1.34,5.67,1.9,16.79,4.22,2010
Egypt II  The Heliopolis Prophecy,PS,Adventure,Frontier Developments,3,7,4,87,1.34,3.32,1.91,2.48,9.05,1.38,2001
Aztec  The Curse in the Heart of the City of Gold,PS,Adventure,Ubisoft,3,8,9,135,4.45,1.07,1.16,4.87,11.55,3.09,2000
Frank Herberts Dune,PS2,Adventure,Sony Computer Entertainment,10,1,7,6,3.26,1.51,3,4.8,12.57,2,2001
Atlantis III  The New World,PS2,Adventure,Activision,7,10,2,77,7.82,3.29,1.74,2.64,15.49,4,2002
Eve Zero  Ark of the Matter,PC,Adventure,Electronic Arts,3,4,4,108,6.64,2.55,3.24,6.73,19.16,7.91,2000
Rocketmen  Axis of Evil,PSN,Shooter,IBM,6.5,5.4,1,208,6.39,4.56,1.35,4.49,16.79,5.71,2008
Pixel Puzzles 2  Birds,PC,Puzzle,Frontier Developments,7,4,8,171,5.21,2.07,5.45,4.05,16.78,5.5,2015
Night in the Woods,Linux,Adventure,IBM,8,5,5,211,5.67,4.46,5.02,1.63,16.78,2.63,2016
King of Pool,PSN,Sports,Omega,6,9,1,5,4.32,3.16,2.68,6.62,16.78,3.04,2010
Apache Overkill,PSN,Shooter,Omega,8,8,7,99,2.42,4.82,5.39,4.15,16.78,4.27,2008
F1 2016,PC,Racing,Amazon Game Studios,9,10,9,0.32,1.04,3.7,5.89,6.14,16.77,6.69,2017
Azada,PC,Adventure,Sony Computer Entertainment,6,4,1,173,7.76,4.79,1.94,2.28,16.77,7.76,2007
