title,platform,genre,publisher,vg_score,critic_score,user_score,total_shipped,aisan_sales,north_american_sales,japan_sales,european_sales,global_sales,Production Cost,release_year
Castle Fantasia  Erenshia Senki,PC,Adventure,Activision,9.0,8.0,7.0,125.0,4.58,7.91,4.27,5.54,22.3,6.84,2000
Tony Hawks Project 8,PS2,Sports,Activision,5.0,6.6,5.0,263.0,3.0,0.72,1.75,0.03,3.37,2.77,2006
Uphill Rush 2,PC,Racing,Omega,1.0,4.0,3.0,242.0,1.87,7.43,4.76,6.72,20.78,4.81,2009
Penny Arcade Adventures  On the Rain Slick Precipice of Darkness Episode One,PC,Adventure,Electronic Arts,8.0,1.0,9.0,0.16,4.85,4.4,1.33,1.76,12.34,3.15,2008
Far Cry 2,PSN,Shooter,Ubisoft,10.0,10.0,6.0,125.0,7.87,3.44,2.5,6.29,20.1,2.42,2011
Red Faction  Armageddon,PC,Shooter,Ubisoft,10.0,7.3,4.0,0.79,1.24,7.74,1.06,6.87,16.91,2.81,2011
Everybodys Putter Golf with TORO,PSN,Sports,Sony Computer Entertainment,10.0,6.0,9.0,118.0,3.13,4.46,5.56,5.61,18.76,1.86,2008
Siege Hero,PC,Puzzle,Sony Computer Entertainment,9.0,7.0,9.0,153.0,2.33,1.21,2.86,3.39,9.79,3.5,2011
Dancing Stage Max,PS2,Simulation,Ubisoft,3.0,10.0,4.0,278.0,6.6,2.71,5.98,5.8,21.09,5.85,2005
Zero Gear,PC,Racing,Amazon Game Studios,10.0,6.0,1.0,164.0,4.99,1.72,5.51,3.11,15.33,5.96,2010
Metal Slug X,PS,Shooter,Electronic Arts,2.0,2.0,2.0,222.0,3.0,0.05,2.22,0.03,2.39,6.2,2001
Dracula  The Last Sanctuary,PS,Adventure,Activision,9.0,9.0,5.0,159.0,5.15,1.45,3.4,6.69,16.69,1.56,2002
Grim Legends  The Forsaken Bride,PC,Puzzle,Frontier Developments,8.0,9.0,1.0,7.0,3.48,2.15,5.81,3.33,14.77,2.04,2015
Dungeon Souls,PC,Board Game,Ubisoft,10.0,8.0,8.0,0.11,3.15,1.76,5.47,3.2,13.58,4.5,2016
Luxor  The Wrath of Set,PSN,Puzzle,Amazon Game Studios,7.0,5.0,7.0,267.0,4.11,3.15,3.3,4.21,14.77,6.43,2010
Tom Clancys Ghost Recon,PC,Shooter,Ubisoft,1.0,9.0,7.0,107.0,2.56,5.8,4.52,6.23,19.11,4.92,2001
Touch Detective,DS,Adventure,Ubisoft,5.0,7.0,4.0,2.0,3.0,0.06,1.02,0.03,1.21,3.92,2006
DS Nishimura Kyotaro Suspense 2 Shin Tantei Series  Kanazawa Hakodate   Gokkan no Kyoukoku   Fukushuu no Kage,DS,Adventure,Amazon Game Studios,3.0,5.0,3.0,64.0,3.0,5.35,0.07,2.5,7.99,5.25,2008
Babysitting Mania,PC,Simulation,Amazon Game Studios,2.0,9.0,10.0,163.0,2.1,4.81,4.57,4.91,16.39,1.06,2008
Kamen Rider  Climax Heroes,PS2,Fighting,Electronic Arts,8.0,6.0,2.0,252.0,3.0,3.75,0.11,2.77,6.74,3.24,2009
BlazBlue  Continuum Shift   Makoto Nanaya,PSN,Fighting,Electronic Arts,8.0,9.0,1.0,65.0,7.63,6.82,4.18,2.03,20.66,3.41,2018
White Gold  War in Paradise,PC,Shooter,Omega,6.0,10.0,6.0,93.0,5.17,1.9,2.83,2.99,12.89,6.08,2008
Powerdrome,PC,Racing,Activision,8.0,5.0,10.0,102.0,6.71,2.54,4.74,3.19,17.18,1.64,2005
Dawn of Discovery  Venice,PC,Simulation,Ubisoft,8.0,7.0,10.0,255.0,3.0,7.2,2.61,1.75,11.57,5.94,2010
Zone of the Enders  The 2nd Runner,PS2,Simulation,Amazon Game Studios,2.0,8.6,3.0,77.0,3.0,0.15,0.11,0.12,0.79,3.4,2003
Battlefield Vietnam,PC,Shooter,Electronic Arts,5.0,8.5,9.0,1.36,3.74,3.17,3.45,5.46,15.82,2.07,2004
AFL Challenge,PSN,Sports,Electronic Arts,8.0,3.0,8.0,162.0,3.06,4.55,5.6,3.41,16.62,5.02,2010
FIFA 17,PC,Sports,Electronic Arts,6.0,4.0,8.0,275.0,3.0,4.81,5.24,0.18,10.42,1.54,2016
Trino,PC,Puzzle,Electronic Arts,5.0,1.0,8.0,19.0,2.24,4.1,2.45,2.14,10.93,3.46,2008
London Taxi  Rushour,PS2,Racing,Amazon Game Studios,7.0,8.0,6.0,63.0,6.71,2.68,1.35,3.05,13.79,5.18,2006
Jikkyou Powerful Pro Yakyuu 15,PS2,Sports,Ubisoft,9.0,5.0,4.0,62.0,3.0,1.43,0.24,5.19,7.1,3.16,2008
Barbie in The 12 Dancing Princesses,PC,Adventure,Omega,10.0,3.0,4.0,1.0,7.92,2.77,4.31,3.5,18.5,3.7,2006
Trainz Ultimate Collection,PC,Simulation,IBM,8.0,2.0,4.0,27.0,7.09,6.0,3.24,5.72,22.05,2.59,2014
Pure Farming 2018,PC,Simulation,Amazon Game Studios,6.0,8.0,8.0,267.0,2.34,4.63,2.96,6.39,16.32,2.89,2018
Lemmings Revolution,PC,Puzzle,Sony Computer Entertainment,6.0,2.0,1.0,67.0,3.0,7.73,3.04,0.01,10.79,3.58,2000
Sid Meiers Civilization  Beyond Earth,Linux,Simulation,Frontier Developments,8.0,7.0,8.0,264.0,3.38,4.76,1.06,6.6,15.8,3.0,2014
Kill.Switch,PS2,Shooter,Ubisoft,8.0,9.0,8.0,37.0,3.0,0.34,3.15,0.27,4.46,5.8,2003
OutRun2 SP Special Tours,PS2,Racing,Sony Computer Entertainment,4.0,5.0,3.0,291.0,1.11,4.18,2.53,4.52,12.34,3.4,2007
Yin Yang  Another X Change,PC,Adventure,Electronic Arts,7.0,10.0,10.0,96.0,2.63,4.61,5.83,3.57,16.64,4.12,2006
USA Today Crossword Challenge,DS,Puzzle,Frontier Developments,6.0,10.0,10.0,109.0,3.0,0.11,3.4,5.44,9.07,1.42,2008
Driver  Parallel Lines,PC,Racing,Ubisoft,9.0,1.0,5.0,214.0,5.15,5.51,3.9,6.71,21.27,5.63,2007
Command & Conquer  Renegade,PC,Shooter,Electronic Arts,3.0,8.0,5.0,59.0,5.14,1.61,3.04,2.5,12.29,3.49,2002
Fight Night Round 3,PS2,Fighting,IBM,7.0,1.0,9.0,235.0,1.56,1.07,3.22,0.4,6.25,0.02,2006
7 Wonders  Treasures of Seven,DS,Puzzle,Frontier Developments,7.0,4.0,9.0,108.0,3.0,0.01,2.6,0.02,2.66,1.11,2011
Thats So Raven  Psychic on the Scene,DS,Adventure,Sony Computer Entertainment,8.0,4.0,8.0,272.0,3.0,0.23,5.62,4.87,10.96,5.12,2006
Privates,PC,Shooter,Electronic Arts,7.0,1.0,1.0,232.0,7.67,6.03,3.07,4.77,21.54,2.02,2018
Pia Carrot e Youkoso   G.O. Summer Fair,PS2,Adventure,IBM,9.0,8.0,5.0,94.0,4.79,4.51,3.79,5.4,18.49,3.95,2007
Battlefield  Bad Company,PS3,Shooter,Electronic Arts,7.0,8.6,10.0,142.0,1.34,0.76,0.05,0.36,2.51,5.95,2008
Shinkyouku Soukai Polyphonica  The Black ~Episode 1&2 Box Edition~,PC,Adventure,Amazon Game Studios,7.0,1.0,1.0,211.0,5.09,1.0,1.76,6.36,14.21,1.95,2007
Overlord  Raising Hell,PS3,Adventure,Electronic Arts,4.0,5.0,8.0,238.0,3.0,0.07,4.72,0.04,4.95,4.09,2008
Bratz  Forever Diamondz,DS,Adventure,Sony Computer Entertainment,8.0,3.0,6.0,116.0,1.48,0.43,4.32,0.88,7.11,5.95,2006
Lilpri DS  Hime Chen  Apple Pink,DS,Adventure,Frontier Developments,6.0,9.0,8.0,250.0,3.0,4.63,0.02,6.14,10.81,4.94,2010
BlazBlue  Continuum Shift EXTEND,PS3,Fighting,Ubisoft,10.0,4.0,9.0,244.0,3.0,4.96,0.09,3.2,8.34,3.6,2012
WTF  Work Time Fun,PSN,Puzzle,Omega,1.0,1.0,1.0,204.0,2.14,1.84,3.09,4.86,11.93,1.05,2009
Generation Zero,PC,Shooter,Amazon Game Studios,10.0,5.0,10.0,150.0,5.44,6.46,4.36,6.59,22.85,5.59,2019
NCAA Football 06,PS2,Sports,Activision,2.0,1.0,1.0,121.0,1.84,1.53,3.5,0.05,6.92,5.62,2005
Smash Court Tennis Pro Tournament 2,PS2,Sports,IBM,4.0,2.0,8.0,40.0,3.0,0.06,2.37,0.05,2.61,1.56,2004
Evil Days of Luckless John,PC,Adventure,Ubisoft,8.0,10.0,8.0,199.0,4.87,1.16,3.93,2.0,11.96,5.82,2006
Zenerchi,PC,Puzzle,Amazon Game Studios,10.0,1.0,2.0,296.0,4.47,1.45,3.01,4.38,13.31,1.97,2009
Pic Pic,DS,Puzzle,Sony Computer Entertainment,3.0,4.0,9.0,187.0,4.58,2.2,1.7,1.33,9.81,3.74,2008
Victorious Boxers 2  Fighting Spirit,PS2,Fighting,Sony Computer Entertainment,8.0,5.0,10.0,143.0,3.56,4.1,4.6,4.81,17.07,2.49,2006
SoulCalibur VI,PS4,Fighting,Activision,7.0,9.0,5.0,109.0,3.0,0.44,0.04,0.11,1.3,3.56,2018
Cindys Caribbean Holiday,PS,Adventure,Omega,10.0,10.0,2.0,83.0,2.47,2.6,3.0,4.76,12.83,2.24,2003
Harukanaru Toki no Naka de  Yumenoukihashi,DS,Adventure,Activision,9.0,9.0,9.0,199.0,3.0,2.72,0.05,1.32,4.14,3.58,2008
Silent Hill,PSN,Adventure,Amazon Game Studios,7.0,6.0,4.0,166.0,1.22,3.79,3.52,2.89,11.42,5.41,2009
Nearwood,PC,Adventure,Sony Computer Entertainment,9.0,3.0,10.0,214.0,1.92,1.55,4.97,2.45,10.89,4.38,2014
Detective Barbie  The Mystery Cruise,PS,Adventure,Frontier Developments,4.0,1.0,7.0,36.0,3.0,0.08,1.48,0.05,1.75,4.39,2000
My Little Helper  Spring Cleaning,DS,Simulation,Electronic Arts,8.0,8.0,8.0,150.0,5.26,2.35,2.21,6.27,16.09,2.19,2010
RC Revenge,PS,Racing,Activision,9.0,2.0,1.0,17.0,6.54,1.98,1.54,6.25,16.31,3.56,2000
Gem Quest  4 Elements,DS,Puzzle,Sony Computer Entertainment,7.0,6.0,7.0,75.0,3.0,0.05,2.96,0.05,3.17,5.64,2011
Imagine  Fashion Designer World Tour,DS,Simulation,Ubisoft,1.0,5.0,6.0,275.0,3.0,0.27,5.06,6.0,11.62,4.93,2009
WarBirds 2006,PC,Simulation,Amazon Game Studios,6.0,5.0,5.0,59.0,3.16,1.47,1.95,1.6,8.18,1.07,2006
Fatal Fury  Battle Archives Volume 2,PS2,Fighting,Activision,10.0,3.0,10.0,206.0,3.0,0.03,5.45,0.03,5.58,5.44,2008
Ace Combat Zero  The Belkan War,PS2,Simulation,Amazon Game Studios,7.0,7.5,4.0,0.79,7.43,2.45,1.05,1.23,12.16,4.25,2006
Plus Plum 2 Again,PS2,Puzzle,Amazon Game Studios,1.0,3.0,2.0,204.0,1.1,2.16,4.75,4.29,12.3,3.33,2006
Major League Baseball 2K12,PC,Sports,Frontier Developments,6.0,8.0,10.0,265.0,3.0,0.04,1.4,5.56,7.04,3.44,2012
Sine Mora,PSN,Shooter,IBM,9.0,6.0,3.0,47.0,6.18,3.07,3.4,6.44,19.09,3.78,2008
NBA Live 10,PS3,Sports,Amazon Game Studios,5.0,7.9,3.0,168.0,3.0,0.46,0.01,0.03,1.04,2.85,2009
Half Life 2  Episode One,PC,Shooter,Electronic Arts,5.0,8.7,5.0,3.92,6.3,3.26,4.53,3.33,17.42,3.55,2006
Virtua Fighter 4  Evolution,PS2,Fighting,Amazon Game Studios,5.0,8.9,8.0,229.0,3.0,0.35,4.22,0.27,5.55,4.16,2003
Murder in the Abbey,PC,Adventure,Omega,3.0,7.0,8.0,247.0,5.56,2.53,1.48,1.54,11.11,5.34,2008
Metro  Last Light,PS3,Shooter,Frontier Developments,7.0,9.0,7.0,155.0,3.0,0.14,0.03,0.21,0.82,4.37,2013
ARCADE GAME SERIES Dig Dug,PC,Puzzle,Electronic Arts,7.0,2.0,1.0,142.0,7.44,5.37,3.93,5.19,21.93,6.21,2015
Battlefield 1943,PC,Shooter,Omega,4.0,9.0,2.0,24.0,2.28,1.03,4.5,3.7,11.51,5.2,2008
Pimp My Ride,PS2,Racing,Activision,2.0,7.0,3.0,140.0,5.53,3.2,1.2,1.59,11.52,1.17,2006
Medal of Honor  Spearhead,PC,Shooter,Electronic Arts,5.0,3.0,7.0,252.0,2.58,3.56,4.05,6.47,16.66,4.2,2002
Red Johnsons Chronicles  Episode 1,PSN,Adventure,Omega,8.0,7.3,10.0,78.0,1.22,2.64,4.76,2.72,11.34,1.09,2011
BioShock  The Collection,PC,Shooter,Frontier Developments,10.0,3.0,10.0,239.0,2.13,2.98,4.17,1.12,10.4,5.69,2016
Hans Christian Andersen  The Ugly Prince Duckling,PC,Adventure,Activision,4.0,9.0,7.0,79.0,2.56,1.95,4.66,6.71,15.88,3.0,2007
Batman  Vengeance,PS2,Adventure,Ubisoft,5.0,7.1,1.0,52.0,3.0,0.27,1.69,0.21,2.72,5.08,2001
Comanche 4,PC,Simulation,Activision,9.0,6.0,6.0,44.0,6.17,4.12,1.16,1.66,13.11,1.16,2001
Close Range,PC,Shooter,Ubisoft,1.0,2.0,1.0,208.0,1.35,2.62,5.86,4.53,14.36,4.31,2009
Mr. Driller Drill Land,PC,Puzzle,IBM,7.0,6.0,4.0,261.0,6.85,1.68,4.36,6.32,19.21,0.02,2020
DROD  The City Beneath,PC,Puzzle,Omega,3.0,4.0,1.0,41.0,5.07,4.37,1.34,5.36,16.14,2.65,2007
Pet Pals  Animal Doctor,DS,Simulation,Activision,9.0,3.0,9.0,197.0,7.07,3.46,1.6,2.99,15.12,1.9,2008
Alice  Madness Returns,PS3,Adventure,Omega,10.0,6.7,2.0,98.0,3.0,0.22,0.04,0.24,1.09,1.33,2011
Rapala Pro Fishing,PS2,Sports,Activision,8.0,8.0,3.0,264.0,3.0,0.18,1.83,0.14,2.51,3.23,2004
WOW  6 Games Simulations Collection,PC,Simulation,IBM,8.0,2.0,5.0,294.0,1.01,4.55,2.47,4.62,12.65,2.04,2015
Rumble Roses,PS2,Fighting,Electronic Arts,10.0,5.0,3.0,186.0,3.0,0.19,1.08,0.15,1.81,3.36,2004
Arcade Hits  Sonic Wings Special,PSN,Shooter,Activision,9.0,5.0,3.0,154.0,5.46,5.63,2.62,1.72,15.43,2.35,2010
Bulletstorm,PSN,Shooter,Electronic Arts,9.0,8.3,4.0,249.0,4.68,1.55,5.02,6.18,17.43,5.84,2011
House M.D.,DS,Adventure,Sony Computer Entertainment,7.0,2.0,10.0,76.0,3.0,0.02,5.96,0.01,6.02,3.94,2010
Samorost 2,PC,Adventure,Activision,8.0,4.0,4.0,230.0,3.92,2.85,5.79,3.59,16.15,5.79,2005
Cabelas Dangerous Hunts 2011,DS,Sports,Activision,6.0,7.0,5.0,33.0,3.0,0.11,5.44,2.34,8.01,2.64,2010
DiRT,PC,Racing,Electronic Arts,5.0,9.0,10.0,132.0,3.0,3.28,4.85,0.02,8.17,3.89,2007
Kimokawae ,DS,Adventure,Amazon Game Studios,3.0,7.0,6.0,156.0,2.32,2.43,4.81,1.71,11.27,3.89,2009
Miramagia,PC,Simulation,Ubisoft,10.0,4.0,3.0,46.0,2.15,5.69,4.15,4.98,16.97,4.47,2011
Fitness Fun,PS2,Sports,Activision,7.0,7.0,9.0,202.0,6.08,1.01,3.37,2.82,13.28,1.52,2006
I.Q. Remix   Intelligent Qube,PS2,Puzzle,IBM,4.0,1.0,3.0,75.0,3.0,1.71,0.04,3.63,5.42,4.66,2000
Naruto Shippuden Ultimate Ninja Storm 4  Road to Boruto,PS4,Fighting,Ubisoft,7.0,5.0,1.0,178.0,3.0,3.52,0.03,2.04,5.62,4.49,2017
Egypt II  The Heliopolis Prophecy,PC,Adventure,Frontier Developments,6.0,7.0,1.0,209.0,3.34,1.85,4.51,1.47,11.17,4.02,2000
Mary Kings Riding School,DS,Simulation,Activision,5.0,1.0,2.0,7.0,3.0,4.3,3.68,0.02,8.02,2.01,2008
Line Rider 2  Unbound,PC,Puzzle,IBM,9.0,1.0,8.0,77.0,5.81,2.76,5.45,3.58,17.6,5.35,2008
Ochaken no Heya DS 4  Ochaken Land de Hotto Shiyo?,DS,Simulation,IBM,4.0,9.0,8.0,241.0,1.16,1.23,4.58,4.33,11.3,3.16,2009
Gran Turismo 5 Prologue,PS3,Racing,Activision,8.4,8.3,2.0,5.35,4.27,5.67,1.33,5.32,16.59,7.18,2008
Mortadelo y Filemon  El Escarabajo de Cleopatra,PC,Adventure,IBM,10.0,4.0,2.0,262.0,1.86,4.81,2.0,1.05,9.72,3.66,2001
The Club,PC,Shooter,Activision,6.0,6.0,2.0,178.0,7.3,7.17,4.22,5.96,24.65,4.84,2008
Kane & Lynch  Dead Men,PC,Shooter,Sony Computer Entertainment,3.0,4.0,7.0,77.0,7.8,4.64,4.9,6.48,23.82,3.42,2007
The BIGS 2,DS,Sports,Omega,10.0,10.0,8.0,72.0,3.0,0.05,4.41,5.79,10.3,3.33,2009
Crayola  Treasure Adventures,DS,Puzzle,Ubisoft,2.0,9.0,3.0,78.0,3.0,0.42,3.37,0.01,4.26,4.07,2007
Deadliest Warrior  Legends,PSN,Fighting,Ubisoft,8.0,5.5,6.0,140.0,5.62,1.08,1.97,4.95,13.62,3.77,2011
L.A. Noire,PS4,Adventure,Omega,6.0,10.0,10.0,50.0,3.0,0.18,4.73,0.32,5.83,4.51,2017
Teenage Mutant Ninja Turtles  Mutant Melee,PS2,Fighting,Activision,9.0,4.0,1.0,215.0,2.12,1.03,2.99,5.35,11.49,0.02,2005
Riding Spirits,PS2,Racing,Sony Computer Entertainment,10.0,5.0,7.0,98.0,3.0,0.13,2.62,0.1,3.11,3.71,2002
Wind  a breath of heart   Re gratitude,PC,Adventure,Omega,10.0,4.0,2.0,295.0,7.42,3.76,4.13,1.92,17.23,1.15,2004
Top Angler  Real Bass Fishing,PS2,Sports,Omega,6.0,3.0,5.0,276.0,3.0,0.05,2.57,0.04,2.77,3.55,2002
Sega Ages 2500 Series Vol. 25  Gunstar Heroes Treasure Box,PS2,Shooter,Sony Computer Entertainment,8.0,1.0,7.0,136.0,3.7,7.52,4.81,6.79,22.82,6.63,2006
Sunless Sea,Linux,Adventure,IBM,6.0,1.0,7.0,134.0,1.01,1.88,3.24,1.52,7.65,4.31,2015
The Sims 2  Glamour Life Stuff,PC,Simulation,Electronic Arts,10.0,4.0,1.0,67.0,3.0,3.01,2.2,0.03,5.27,5.51,2006
Star Wars Racer Revenge,PS2,Racing,Omega,6.0,7.8,2.0,247.0,3.0,0.15,5.29,0.12,5.87,4.31,2002
Pro Evolution Soccer,PS,Sports,Frontier Developments,1.0,9.0,6.0,56.0,4.24,2.38,5.2,1.5,13.32,2.02,2002
Murder Miners,PC,Shooter,Sony Computer Entertainment,9.0,8.0,10.0,0.42,5.8,2.87,1.94,1.57,12.18,5.12,2014
Secrets of the Ark  A Broken Sword Game,PC,Adventure,Electronic Arts,10.0,4.0,4.0,56.0,5.56,3.55,1.64,3.85,14.6,4.25,2007
City Soccer Challenge,PS2,Sports,Amazon Game Studios,5.0,2.0,3.0,242.0,3.59,1.92,4.13,4.21,13.85,4.74,2006
Mirai Nostalgia,PC,Adventure,IBM,7.0,1.0,3.0,259.0,2.96,1.24,2.33,4.05,10.58,2.82,2011
The Sims  Complete Collection,PC,Simulation,Electronic Arts,4.0,1.0,9.0,9.0,3.0,0.01,2.1,0.01,2.14,1.38,2005
D.N.Angel  Kurenai no Tsubasa,PS2,Adventure,Frontier Developments,1.0,5.0,8.0,240.0,7.23,4.69,2.84,3.82,18.58,7.71,2003
Crash Time II,PC,Racing,Activision,5.0,6.0,2.0,129.0,2.59,4.42,1.26,6.78,15.05,4.66,2009
Golf Club 2,PC,Sports,Electronic Arts,6.0,9.0,7.0,103.0,3.12,1.3,5.58,1.93,11.93,3.95,2017
Derby Tsuku 3  Derby Uma o Tsukurou ,PS2,Sports,Activision,9.0,1.0,9.0,196.0,2.76,2.06,2.97,4.54,12.33,4.59,2003
Top Spin 4,PS3,Sports,Frontier Developments,8.0,8.2,3.0,61.0,3.0,0.17,1.43,0.4,2.69,1.98,2011
Pro Fishing Simulator,PC,Simulation,Activision,8.0,7.0,1.0,2.0,7.46,3.86,1.55,2.9,15.77,5.6,2018
FIFA Soccer 08,PS2,Sports,Amazon Game Studios,1.0,1.0,9.0,267.0,3.14,0.68,4.99,3.05,11.86,5.97,2007
The Adventures of Tintin  The Game,PS3,Adventure,Ubisoft,10.0,2.0,7.0,281.0,3.0,0.06,1.34,0.15,1.81,2.64,2011
Armored Core  Verdict Day,PS3,Shooter,Activision,10.0,10.0,1.0,89.0,3.0,3.78,0.12,5.7,9.72,4.58,2013
Enigmatis 2  The Mists of Ravenwood,Linux,Adventure,Sony Computer Entertainment,10.0,1.0,7.0,164.0,2.31,2.45,2.81,3.89,11.46,4.17,2013
Rocketmen  It Came from Uranus,PSN,Shooter,Amazon Game Studios,5.0,2.0,10.0,271.0,6.41,4.55,1.42,4.21,16.59,4.28,2008
Silent Hill  Downpour,PS3,Adventure,Amazon Game Studios,7.0,2.0,3.0,98.0,3.0,0.21,0.04,0.16,0.88,4.75,2012
MLB Front Office Manager,PS3,Sports,Frontier Developments,4.0,4.0,7.0,241.0,3.0,0.07,5.62,3.12,8.89,1.93,2009
Elizabeth Find M.D.  Diagnosis Mystery  Season 2,PC,Puzzle,Ubisoft,7.0,4.0,9.0,132.0,4.13,6.68,5.3,5.87,21.98,6.34,2011
Tennis no Oji Sama  Smash Hit ,PS2,Sports,IBM,7.0,3.0,6.0,58.0,1.18,1.32,3.97,6.33,12.8,3.0,2003
WRC 9,PS5,Racing,IBM,6.0,8.0,8.0,37.0,3.75,2.52,4.73,4.19,15.19,3.9,2020
Journey to the Center of the Earth,DS,Adventure,IBM,8.0,2.0,3.0,254.0,3.0,0.01,3.65,3.54,7.21,1.23,2008
Bowling,PS,Sports,Ubisoft,6.0,2.3,5.0,277.0,3.26,2.01,4.8,6.53,16.6,4.4,2001
Wacky Races,PS,Racing,Amazon Game Studios,9.0,10.0,2.0,232.0,4.78,4.5,5.69,3.07,18.04,4.7,2001
Tony Hawks Pro Skater 1 2,PS4,Sports,Frontier Developments,6.0,8.0,10.0,55.0,7.36,1.62,1.77,2.95,13.7,6.05,2020
Kazeiro Surf,PS2,Adventure,Sony Computer Entertainment,7.0,7.0,5.0,103.0,1.11,1.91,1.94,4.54,9.5,1.65,2009
This Is The Police,PS4,Simulation,Sony Computer Entertainment,10.0,10.0,9.0,81.0,3.0,0.01,4.24,1.6,5.87,2.29,2017
Golf Club 2019,PS4,Sports,Omega,9.0,8.0,9.0,211.0,3.0,0.05,3.53,6.69,10.33,3.27,2018
Jissen Pachi Slot Hisshouhou  Hokuto no Ken F   Seikimatsu Kyuuseishu Densetsu,PS3,Fighting,Ubisoft,9.0,8.0,1.0,81.0,3.0,3.47,0.06,1.13,4.72,3.31,2012
Spot the Differences ,PSN,Puzzle,Sony Computer Entertainment,1.0,2.0,10.0,218.0,5.74,4.08,2.9,1.74,14.46,1.1,2009
Fast Food Panic,DS,Simulation,Omega,10.0,7.0,8.0,70.0,3.0,0.13,3.52,3.58,7.37,1.91,2010
The Treasures of Mystery Island 3 Pack   Save Mystery Island ,PC,Puzzle,IBM,6.0,5.0,9.0,192.0,3.0,0.01,1.41,2.26,3.69,6.89,2011
Midnight Club 3  DUB Edition Remix,PS2,Racing,Sony Computer Entertainment,6.0,5.0,3.0,205.0,1.16,0.97,4.15,0.04,6.32,2.59,2006
U.P.P.,PSN,Puzzle,Sony Computer Entertainment,8.0,3.0,8.0,134.0,2.47,4.61,3.9,3.65,14.63,1.59,2011
The Graveyard,PC,Adventure,Activision,8.0,2.0,9.0,15.0,6.43,6.33,5.07,5.41,23.24,2.87,2008
Trash Panic,PSN,Puzzle,Amazon Game Studios,7.2,6.8,8.0,125.0,7.17,2.97,5.34,1.58,17.06,3.64,2009
Belief & Betrayal,PC,Adventure,Activision,1.0,10.0,5.0,57.0,2.53,3.72,4.46,2.06,12.77,0.01,2008
Okami HD,PS3,Board Game,Ubisoft,9.0,2.0,3.0,128.0,3.0,1.26,0.14,1.78,3.32,4.96,2012
Littlewitch Romanesque  Editio Regia,PC,Simulation,IBM,8.0,9.0,6.0,82.0,1.13,1.39,1.08,4.13,7.73,3.71,2015
Sonic Princess,PC,Shooter,Frontier Developments,8.0,9.0,8.0,123.0,1.08,3.27,5.91,5.15,15.41,2.03,2001
XIII,PS4,Shooter,Ubisoft,6.0,4.0,7.0,257.0,6.53,5.87,1.3,5.23,18.93,0.17,2020
Lupin the 3rd  Treasure of the Sorcerer King,PS2,Adventure,Activision,5.0,5.0,1.0,269.0,3.0,0.02,0.25,0.02,0.58,5.53,2004
Worlds Scariest Police Chases,PS,Racing,Activision,6.0,6.0,5.0,96.0,3.0,0.2,5.66,0.14,6.36,6.42,2001
Whac A Mole,DS,Puzzle,Activision,6.0,4.0,3.0,159.0,3.0,0.07,2.28,5.3,7.73,5.81,2005
Urban Chaos  Riot Response,PS2,Shooter,Electronic Arts,2.0,4.0,10.0,218.0,3.0,0.03,1.59,0.02,1.7,3.97,2006
Touch Mechanic,DS,Simulation,Activision,3.0,2.0,6.0,159.0,3.0,0.08,5.16,2.4,7.72,2.68,2009
Pacific Warriors II  Dogfight,PS2,Simulation,Electronic Arts,3.0,7.0,9.0,167.0,5.93,4.94,2.07,5.87,18.81,5.51,2004
My Horse & Me,DS,Sports,IBM,9.0,9.0,8.0,200.0,3.0,0.33,2.36,3.4,6.45,1.23,2008
Transworld Skateboarder,PS2,Sports,Omega,10.0,9.0,1.0,3.0,6.79,4.72,3.3,1.11,15.92,1.97,2007
High Velocity Bowling,PSN,Sports,Frontier Developments,7.4,4.0,3.0,234.0,2.55,2.16,1.02,2.35,8.08,4.17,2007
NeoGeo Heroes  Ultimate Shooting,PSN,Shooter,Amazon Game Studios,9.0,7.0,5.0,155.0,6.06,2.27,4.8,1.03,14.16,0.01,2010
Operation Flashpoint  Resistance,PC,Shooter,IBM,9.0,7.0,9.0,268.0,1.31,3.9,4.1,3.62,12.93,5.8,2002
Memories Off,PC,Adventure,IBM,2.0,7.0,2.0,64.0,4.05,4.85,2.3,3.34,14.54,5.75,2000
WWE Smackdown  vs. Raw,PS2,Fighting,IBM,4.0,7.0,6.0,198.0,6.88,1.58,5.28,2.43,16.17,2.08,2004
Tomoyo After  Its a Wonderful Life CS Edition,PS2,Adventure,Sony Computer Entertainment,9.0,3.0,10.0,239.0,3.0,2.61,0.01,2.75,5.38,4.55,2007
Shenmue III,PS4,Board Game,Frontier Developments,7.0,3.0,2.0,219.0,4.88,2.87,4.95,3.19,15.89,2.75,2019
NASCAR 2001,PS,Racing,Frontier Developments,9.0,10.0,9.0,15.0,3.0,0.45,2.08,0.31,3.65,3.0,2000
Kunoichi Sakuya,PC,Adventure,Omega,1.0,3.0,6.0,247.0,1.65,5.03,5.87,6.82,19.37,6.52,2006
Burnout 2  Point of Impact,PS2,Racing,Electronic Arts,4.0,3.0,10.0,37.0,3.0,0.42,5.35,0.32,6.94,5.12,2002
X Tension,PC,Simulation,Activision,3.0,6.0,9.0,126.0,4.25,1.68,3.26,1.19,10.38,5.98,2002
Breach & Clear,PC,Simulation,Electronic Arts,9.0,4.0,4.0,0.18,2.67,5.6,2.15,6.2,16.62,1.21,2018
Dance Dance Revolution Party Collection,PS2,Simulation,Sony Computer Entertainment,5.0,10.0,2.0,89.0,1.98,2.87,1.26,1.8,7.91,3.12,2003
