title,platform,genre,publisher,vg_score,critic_score,user_score,total_shipped,aisan_sales,north_american_sales,japan_sales,european_sales,Production Cost,release_year
Scared Rider Xechs  Stardust Lovers,PS2,Adventure,Amazon Game Studios,7.0,5.0,1.0,174.0,2.08,2.01,1.63,6.68,0.04,2011.0
Boku no Natsuyasumi  Himitsu Taiken,PC,Adventure,Frontier Developments,1.0,5.0,8.0,44.0,1.62,2.07,2.36,4.87,5.01,2004.0
National Geographic Panda (JP sales),DS,Simulation,Amazon Game Studios,4.0,1.0,6.0,257.0,3.0,4.82,0.01,4.71,1.89,2008.0
The Land Before Time  Great Valley Racing Adventure,PS,Racing,Amazon Game Studios,3.0,1.0,6.0,182.0,3.0,0.05,4.89,0.04,4.35,2001.0
Akagawa Jirou Mystery  Yasoukyoku   Hon ni Manekareta Satsujin,DS,Adventure,Sony Computer Entertainment,5.0,6.0,1.0,214.0,3.0,4.13,0.06,3.41,4.41,2008.0
99 no Namida,DS,Adventure,Omega,7.0,8.0,5.0,172.0,3.0,2.41,0.04,6.44,6.64,2008.0
Picture Perfect Hair Salon,DS,Simulation,Ubisoft,4.0,7.0,9.0,138.0,3.0,0.07,5.17,5.13,5.19,2009.0
Another World  15th Anniversary Edition,PC,Adventure,Activision,10.0,7.0,6.0,129.0,1.89,2.12,4.16,5.72,3.11,2006.0
Lovely Lisa,DS,Simulation,Omega,8.0,4.0,7.0,67.0,3.0,0.11,4.98,2.6,2.49,2008.0
AMF Xtreme Bowling,PS2,Sports,Omega,7.0,2.0,10.0,63.0,3.0,0.01,5.64,0.01,4.84,2006.0
NASCAR 15,PC,Sports,Omega,6.0,6.0,4.0,61.0,2.79,2.87,5.94,2.26,6.43,2015.0
Helicopter Assault,PC,Simulation,Frontier Developments,2.0,5.0,8.0,169.0,2.45,1.78,2.07,5.34,4.42,2005.0
Shiki Tei,PSN,Simulation,Electronic Arts,1.0,2.0,6.0,81.0,2.46,6.46,3.28,5.92,2.85,2008.0
Cabelas Dangerous Hunts 2009,PS2,Sports,Activision,2.0,4.0,8.0,285.0,3.0,0.09,5.84,0.07,0.02,2008.0
NASCAR 07,PS2,Racing,Electronic Arts,5.0,2.0,9.0,129.0,3.0,0.06,3.27,0.04,1.18,2006.0
Max Payne 3,PS3,Shooter,Omega,9.0,7.0,7.0,153.0,1.86,0.59,0.06,0.93,0.01,2012.0
Smash Cars,PSN,Racing,Amazon Game Studios,2.0,6.0,2.0,274.0,4.08,3.39,4.12,6.26,4.75,2009.0
Simple 2000 Series Vol. 56  The Survival Game,PS2,Shooter,Ubisoft,1.0,1.0,6.0,51.0,2.96,2.83,5.16,3.37,4.93,2004.0
WWE SmackDown vs. Raw 2010,PS3,Fighting,Sony Computer Entertainment,10.0,8.1,5.0,32.0,1.17,0.48,0.01,0.48,4.04,2009.0
Witchs Curse 2,PC,Puzzle,Activision,9.0,8.0,3.0,196.0,3.33,4.48,1.57,5.03,2.97,2011.0
D.C. II  Da Capo II Fall in Love,PC,Adventure,Electronic Arts,3.0,6.0,4.0,153.0,1.77,1.81,2.83,4.46,2.85,2009.0
Power Pro Kun Pocket 8,DS,Sports,IBM,9.0,6.0,7.0,243.0,3.0,1.65,0.14,1.45,5.95,2005.0
John Dalys ProStroke Golf,PC,Sports,IBM,9.0,8.0,6.0,160.0,5.37,1.49,4.4,2.91,0.01,2010.0
Tokimeki Memorial 2 Substories  Memories Ringing On,PS,Adventure,Sony Computer Entertainment,5.0,10.0,6.0,172.0,4.32,3.37,1.86,2.48,1.6,2001.0
Degrees of Separation,PC,Puzzle,Ubisoft,8.0,2.0,1.0,102.0,5.96,6.49,4.12,6.65,6.55,2019.0
JoJos Bizarre Adventure  Eyes of Heaven,PS4,Fighting,Activision,6.0,9.0,8.0,15.0,3.0,3.45,0.04,4.58,2.6,2016.0
ATV Mania,PS,Racing,Electronic Arts,4.0,4.0,9.0,145.0,3.14,2.31,5.24,3.26,4.7,2003.0
TrackMania Power Up ,PC,Racing,IBM,6.0,8.0,10.0,300.0,4.46,4.07,4.71,6.05,0.02,2004.0
Nintendo Presents  Crossword Collection,DS,Puzzle,Omega,10.0,7.0,9.0,237.0,3.0,2.21,3.44,0.19,3.12,2009.0
Mountain Bike Adrenaline,PS2,Sports,Frontier Developments,3.0,5.0,6.0,135.0,3.0,0.03,5.28,0.02,5.68,2007.0
Infinity Plus,PS2,Adventure,IBM,3.0,5.0,3.0,46.0,1.53,3.49,1.64,5.57,4.86,2008.0
Trine 3  The Artifacts of Power,PC,Board Game,Electronic Arts,7.0,1.0,8.0,0.39,6.68,4.0,5.71,1.05,1.03,2015.0
Armored Core 3,PS2,Simulation,Frontier Developments,2.0,10.0,9.0,194.0,3.0,0.22,0.23,0.17,3.55,2002.0
Crane Simulator 2009,PC,Simulation,Ubisoft,2.0,4.0,1.0,194.0,4.04,7.91,5.21,2.7,1.72,2005.0
F1 Manager,PC,Racing,Ubisoft,5.0,4.0,2.0,258.0,5.76,1.06,4.24,2.9,1.44,2000.0
FIFA 21,PS4,Sports,Electronic Arts,6.0,4.0,6.0,130.0,4.17,4.57,3.79,4.8,4.75,2019.0
BeatMania IIDX 14 Gold,PS2,Simulation,Frontier Developments,4.0,3.0,3.0,211.0,3.0,3.81,0.03,5.48,7.93,2008.0
Unreal Tournament 2003,PC,Shooter,Frontier Developments,4.0,9.0,9.0,247.0,3.0,4.21,4.7,0.01,4.25,2002.0
Akai Ito,PS2,Adventure,Sony Computer Entertainment,4.0,9.0,6.0,272.0,5.16,4.38,2.37,3.32,0.02,2004.0
Dead or Alive 6,PS4,Fighting,Activision,8.0,4.0,7.0,155.0,7.97,4.95,1.99,3.42,3.96,2019.0
Shaun White Skateboarding,PS3,Sports,Ubisoft,9.0,6.6,9.0,42.0,3.0,0.12,3.93,0.05,3.09,2010.0
Monster Madness  Battle for Suburbia,PC,Shooter,Amazon Game Studios,8.0,8.0,10.0,64.0,1.6,4.69,1.88,6.06,1.34,2007.0
Twilight Syndrome  Kinjiratera Toshi Densetsu,DS,Adventure,Sony Computer Entertainment,6.0,9.0,9.0,288.0,3.0,7.8,0.04,5.06,6.84,2008.0
Spin Jam,PS,Puzzle,Ubisoft,1.0,5.0,5.0,22.0,3.0,0.17,4.59,0.12,4.67,2000.0
Jikkyou Powerful Pro Yakyuu 14 Ketteiban,PS2,Sports,Sony Computer Entertainment,8.0,5.0,9.0,159.0,3.0,3.52,0.09,5.2,1.4,2007.0
Cars  Mater National Championship,PS3,Racing,Ubisoft,7.0,1.0,5.0,95.0,3.0,0.37,2.36,0.01,5.87,2007.0
Serious Sam VR  The Last Hope,PC,Shooter,Frontier Developments,6.0,6.0,8.0,67.0,6.02,3.06,1.11,2.16,4.42,2017.0
WarDevil  Enigma,PS3,Shooter,Activision,3.0,9.0,4.0,132.0,4.11,7.08,4.66,6.01,5.43,2002.0
NASCAR Thunder 2002,PS2,Racing,Activision,6.0,8.0,4.0,289.0,1.16,0.57,3.6,0.44,3.33,2001.0
Poi  Hito Natsu no Keiken ?,PS2,Adventure,Frontier Developments,6.0,6.0,8.0,65.0,1.6,2.1,3.26,6.09,2.4,2008.0
Dragon Ball  Raging Blast 2,PS3,Fighting,Ubisoft,8.0,6.0,5.0,84.0,3.0,0.43,0.11,0.19,4.05,2010.0
Crazy Taxi  Fare Wars,PSN,Racing,Frontier Developments,7.0,6.3,4.0,259.0,5.14,7.74,2.1,5.06,5.72,2009.0
Jewel Match,DS,Puzzle,Electronic Arts,8.0,6.0,1.0,299.0,3.0,0.05,1.79,0.11,2.96,2011.0
Lock On  Modern Air Combat,PC,Simulation,Ubisoft,7.0,3.0,10.0,144.0,3.0,3.44,5.87,0.03,5.71,2003.0
Ship Simulator 2008 Collectors Edition,PC,Simulation,Omega,10.0,3.0,8.0,203.0,6.99,1.32,5.64,3.77,5.76,2008.0
Koh 2  Shogun,PS,Simulation,Sony Computer Entertainment,7.0,9.0,5.0,69.0,6.53,3.47,3.7,1.89,2.8,2000.0
Kujibiki Unbalance,PS2,Racing,Amazon Game Studios,2.0,3.0,10.0,82.0,7.78,3.47,3.04,4.99,1.51,2007.0
Star Trek  D A C,PC,Shooter,Frontier Developments,1.0,5.0,2.0,273.0,5.88,1.83,1.0,1.74,5.06,2009.0
Black Jack  Hi no Tori Hen,DS,Adventure,Ubisoft,10.0,2.0,5.0,147.0,6.78,3.05,4.32,6.1,3.05,2006.0
The Crew  Wild Run,PC,Racing,Ubisoft,7.0,6.0,8.0,118.0,3.0,4.69,5.08,0.02,2.34,2015.0
Ever17 〜the out of infinity〜,PS2,Adventure,Ubisoft,8.0,8.0,7.0,250.0,3.36,2.01,1.07,1.2,3.43,2002.0
ATV Quad Power Racing 2,PS2,Racing,Sony Computer Entertainment,8.0,8.0,7.0,199.0,3.0,0.41,5.24,0.32,5.65,2003.0
Cold Winter,PS2,Shooter,Omega,9.0,7.0,5.0,47.0,3.0,0.06,3.91,0.04,5.28,2005.0
Marvel vs. Capcom 2,PS2,Fighting,Electronic Arts,1.0,8.2,7.0,234.0,3.0,0.31,0.13,0.24,3.36,2002.0
NeoGeo Online Collection Complete Box Gekkan,PS2,Fighting,Electronic Arts,6.0,3.0,4.0,150.0,4.91,2.19,5.14,6.16,4.86,2009.0
Puzzle Mate  Oekaki Mate,DS,Puzzle,Omega,7.0,3.0,7.0,170.0,2.06,1.93,5.71,6.62,1.84,2008.0
Marvins Maze,PSN,Puzzle,IBM,10.0,8.0,5.0,22.0,3.14,6.31,1.04,2.92,6.79,2011.0
International Cricket Captain 2001  Ashes Edition,PS,Sports,Activision,1.0,7.0,4.0,2.0,4.73,1.53,1.33,5.85,3.99,2001.0
FlatOut 4  Total Insanity,PC,Racing,Electronic Arts,8.0,1.0,7.0,13.0,5.21,2.94,5.55,5.02,4.98,2017.0
Real Kanojo,PC,Simulation,Ubisoft,7.0,6.0,1.0,230.0,5.1,3.37,4.04,2.8,1.57,2010.0
Enigmatis 2  The Mists of Ravenwood,Linux,Adventure,Sony Computer Entertainment,10.0,1.0,7.0,164.0,2.31,2.45,2.81,3.89,4.17,2013.0
TimeShift,PC,Shooter,Ubisoft,1.0,2.0,2.0,84.0,3.0,0.01,5.64,1.04,3.44,2007.0
Dodge Racing  Charger vs Challenger,DS,Racing,Frontier Developments,2.0,8.0,7.0,221.0,3.0,0.03,4.34,2.62,3.56,2009.0
Syphon Filter 2,PS,Shooter,Frontier Developments,8.0,4.0,3.0,117.0,2.15,1.5,0.02,0.55,5.01,2000.0
Puzzle Challenge  Crosswords and More ,PSN,Puzzle,Electronic Arts,7.0,7.0,4.0,164.0,5.96,2.4,2.61,2.77,6.55,2009.0
Peggle Nights,PSN,Puzzle,IBM,3.0,2.0,2.0,27.0,6.51,4.36,3.7,3.23,5.75,2009.0
Championship Manager 4,PC,Sports,Activision,5.0,6.0,5.0,148.0,6.12,2.65,2.81,4.06,2.49,2003.0
Resistance 3,PS3,Shooter,Omega,6.0,8.3,8.0,49.0,1.49,0.64,0.05,0.57,2.37,2011.0
NightSky,PC,Puzzle,Activision,8.0,7.8,7.0,0.22,7.97,1.02,2.97,3.43,1.26,2011.0
Ochaken no Heya DS 4  Ochaken Land de Hotto Shiyo?,DS,Simulation,IBM,4.0,9.0,8.0,241.0,1.16,1.23,4.58,4.33,3.16,2009.0
Re Zero   Kara Hajimeru Isekai Seikatsu   Death or Kiss,PS4,Adventure,Sony Computer Entertainment,8.0,5.0,5.0,101.0,3.0,3.59,0.01,4.77,4.34,2017.0
Castle Fantasia  Erenshia Senki Renewal,PC,Adventure,Sony Computer Entertainment,3.0,6.0,10.0,229.0,2.01,7.43,5.0,1.95,3.78,2003.0
Army of Two  The Devils Cartel,PS3,Shooter,Electronic Arts,8.0,6.0,1.0,185.0,3.0,0.11,0.01,0.12,2.66,2013.0
Sports Collection,DS,Sports,Ubisoft,8.0,7.0,3.0,212.0,3.0,0.06,4.6,0.01,4.82,2010.0
BeatMania IIDX 15  DJ Troopers,PS2,Simulation,IBM,4.0,8.0,7.0,185.0,3.91,3.11,1.72,1.88,2.14,2008.0
Hoshi Furu,PS2,Adventure,Frontier Developments,7.0,5.0,7.0,44.0,2.45,3.51,5.09,2.55,6.21,2008.0
My Horse & Me,DS,Sports,IBM,9.0,9.0,8.0,200.0,3.0,0.33,2.36,3.4,1.23,2008.0
Close Combat  First to Fight,PC,Shooter,Frontier Developments,5.0,1.0,5.0,1.0,6.99,2.89,3.79,2.05,5.84,2005.0
Delta Force  Land Warrior,PC,Shooter,Sony Computer Entertainment,10.0,2.0,10.0,19.0,4.83,4.32,1.59,4.9,6.52,2000.0
CSI  Dark Motives,DS,Adventure,Sony Computer Entertainment,7.0,6.0,5.0,238.0,3.0,0.05,1.36,0.01,1.46,2007.0
MLB Front Office Manager,PS3,Sports,Frontier Developments,4.0,4.0,7.0,241.0,3.0,0.07,5.62,3.12,1.93,2009.0
StarWraith IV  Reviction,PC,Simulation,Electronic Arts,8.0,7.0,9.0,175.0,4.93,4.73,3.99,4.71,3.69,2018.0
Action Girlz Racing,PC,Racing,Ubisoft,9.0,8.0,6.0,13.0,5.06,4.84,1.98,5.15,4.66,2005.0
Happy Feet,PS2,Adventure,Amazon Game Studios,3.0,4.0,9.0,260.0,3.32,1.08,4.62,5.48,2.04,2006.0
BioShock,PS3,Shooter,Frontier Developments,9.3,9.3,6.0,66.0,1.44,0.75,0.01,0.48,5.82,2008.0
I Love Horses,DS,Simulation,Ubisoft,10.0,8.0,5.0,30.0,3.0,0.21,4.44,5.23,4.27,2009.0
Doctor Who  The Adventure Games Episode 2  Blood of the Cybermen,PC,Adventure,Amazon Game Studios,9.0,10.0,1.0,162.0,1.15,5.08,4.51,6.13,1.52,2010.0
Tomoyo After  Its a Wonderful Life,PC,Adventure,Frontier Developments,3.0,8.0,5.0,223.0,7.99,2.15,3.56,5.13,6.58,2005.0
Suigetsu,PC,Adventure,IBM,10.0,6.0,9.0,17.0,5.46,1.47,3.93,6.42,1.45,2002.0
Midnight Club 3  DUB Edition Remix,PS2,Racing,Sony Computer Entertainment,6.0,5.0,3.0,205.0,1.16,0.97,4.15,0.04,2.59,2006.0
Street Fighter IV,PS3,Fighting,Frontier Developments,9.1,9.3,9.0,153.0,4.19,2.04,0.59,1.05,1.83,2009.0
Don Bradman Cricket 14,PS4,Sports,Amazon Game Studios,9.0,5.0,4.0,84.0,3.0,0.01,3.96,0.09,1.79,2015.0
Hidden Mysteries  Titanic   Secrets of the Fateful Voyage,DS,Adventure,Activision,6.0,6.0,9.0,278.0,3.0,0.12,3.18,0.33,4.88,2009.0
The History Channel  Civil War   A Nation Divided,PC,Shooter,Activision,7.0,4.0,7.0,129.0,2.58,3.07,1.54,1.65,1.52,2006.0
Inu Kaisha DS,DS,Simulation,Ubisoft,5.0,1.0,5.0,94.0,1.31,2.16,5.84,4.47,3.9,2009.0
NASCAR 14,PC,Racing,Frontier Developments,6.0,6.0,1.0,264.0,5.87,4.9,2.6,3.6,2.24,2014.0
Infliction,PS4,Adventure,Activision,6.0,5.0,4.0,267.0,2.86,1.28,2.7,1.69,7.36,2019.0
BlazBlue  Calamity Trigger,PS3,Fighting,Activision,2.0,8.5,3.0,273.0,3.0,0.36,0.06,0.1,3.84,2009.0
Fintastic Fishdom Collection,PC,Puzzle,Omega,6.0,9.0,2.0,128.0,7.09,6.79,1.9,3.76,1.56,2011.0
Atelier,PC,Adventure,Electronic Arts,7.0,10.0,3.0,300.0,2.56,7.38,5.19,5.71,3.3,2000.0
Valis X  Meijimura Meyo  Valis no Senshi Tachi,PC,Adventure,Ubisoft,6.0,1.0,10.0,150.0,1.5,3.27,3.32,6.96,1.86,2006.0
The Conveni DS  Otona no Keiei Ryoku Training,DS,Simulation,Omega,9.0,4.0,10.0,17.0,3.0,2.46,0.01,5.48,1.35,2008.0
Tennis World Tour,PC,Sports,Electronic Arts,9.0,8.0,4.0,200.0,1.84,1.41,2.29,2.72,2.24,2018.0
IGPX  Immortal Grand Prix,PS2,Racing,Electronic Arts,4.0,7.0,10.0,215.0,3.8,2.66,3.67,5.72,3.0,2006.0
Midnight Club 3  DUB Edition (America weekly sales),PS2,Racing,Electronic Arts,2.0,4.0,7.0,120.0,1.29,1.22,4.06,0.05,3.0,2005.0
Championship Manager  Season 00 01,PC,Sports,Electronic Arts,3.0,2.0,8.0,11.0,2.66,1.95,1.29,1.39,2.6,2000.0
Doom 3,iOS,Shooter,Ubisoft,9.0,6.0,9.0,215.0,2.31,4.36,2.23,1.08,1.24,2019.0
MySims Racing,DS,Racing,Ubisoft,9.0,8.0,2.0,151.0,3.0,0.25,1.17,0.29,1.26,2009.0
Get Fit with Mel B,PS3,Sports,Amazon Game Studios,9.0,6.0,8.0,114.0,3.0,0.15,1.8,0.16,5.97,2010.0
Lost Lands  The Wanderer,PC,Adventure,Ubisoft,6.0,8.0,5.0,158.0,5.3,1.27,5.78,6.12,5.57,2017.0
Kantan  Tanoshii  Okashi Navi DS,DS,Simulation,Omega,1.0,1.0,4.0,81.0,3.0,2.66,0.01,4.13,4.8,2008.0
Arthur and the Invisibles,PS2,Adventure,Sony Computer Entertainment,6.0,9.0,10.0,52.0,5.57,1.02,3.53,5.65,1.2,2007.0
Tour de France 2014,PS3,Sports,IBM,10.0,3.0,7.0,284.0,3.0,2.57,3.63,0.01,1.16,2014.0
Archibalds Adventures,PSN,Puzzle,Frontier Developments,7.0,5.0,10.0,173.0,6.14,4.36,4.12,2.08,2.73,2010.0
Belief & Betrayal,PC,Adventure,Activision,1.0,10.0,5.0,57.0,2.53,3.72,4.46,2.06,0.01,2008.0
Simple 1500 Series Vol. 60  The Table Hockey,PS,Sports,Sony Computer Entertainment,5.0,5.0,8.0,224.0,3.53,4.79,3.36,2.63,3.25,2001.0
Knight Rider  The Game,PC,Racing,Omega,9.0,5.0,7.0,259.0,6.06,3.92,2.64,6.86,5.39,2003.0
WWE SmackDown vs. Raw 2011,PSN,Fighting,Ubisoft,9.0,10.0,4.0,217.0,2.2,5.8,1.59,6.64,3.5,2010.0
Nimbus,PC,Puzzle,Sony Computer Entertainment,8.0,8.0,9.0,51.0,3.65,2.2,3.52,4.0,5.81,2010.0
Kengo 3,PS2,Fighting,Sony Computer Entertainment,3.0,7.0,9.0,78.0,3.11,4.23,3.51,5.95,0.02,2004.0
Silent Scope 3,PS2,Shooter,IBM,1.0,8.0,7.0,219.0,3.0,0.08,1.83,0.06,0.02,2002.0
My Merry May with be,PS2,Adventure,Ubisoft,10.0,7.0,7.0,116.0,2.85,1.69,1.04,3.96,3.24,2005.0
Men in Black II  Crossfire,PC,Adventure,Frontier Developments,8.0,10.0,1.0,94.0,4.59,4.74,2.17,5.84,2.64,2002.0
Paradise Lost,PC,Adventure,Frontier Developments,9.0,3.0,4.0,168.0,6.69,4.54,3.8,3.68,5.4,2019.0
Serious Sam HD  Gold Edition,PC,Shooter,Frontier Developments,9.0,2.0,7.0,225.0,3.0,3.46,3.17,0.02,3.23,2010.0
Madden NFL 11,PS3,Sports,Frontier Developments,8.0,8.4,6.0,84.0,2.4,2.05,4.65,0.15,1.38,2010.0
Burnout Paradise  Cops & Robbers,PSN,Racing,Omega,10.0,9.0,8.0,134.0,3.69,4.31,1.28,5.13,2.16,2000.0
LEGO Batman  The Videogame,PS3,Adventure,Electronic Arts,7.5,7.2,9.0,30.0,1.31,0.72,2.01,0.39,1.62,2008.0
Brain Boost  Beta Wave,DS,Puzzle,Ubisoft,9.0,8.0,1.0,244.0,3.0,0.14,5.44,5.87,5.33,2006.0
Heatseeker,PS2,Simulation,Activision,3.0,3.0,5.0,7.0,1.68,3.37,2.16,2.43,4.67,2007.0
Tokimeki Memorial 3  Yakusoku no Ano Basho de,PS2,Adventure,Omega,7.0,3.0,3.0,260.0,2.4,3.35,5.99,2.96,2.39,2001.0
Red Baron Arcade,PSN,Simulation,Activision,1.0,4.0,2.0,86.0,7.11,5.47,5.23,3.52,1.17,2009.0
Knights and Bikes,PS4,Board Game,Ubisoft,10.0,9.0,8.0,97.0,4.79,2.36,2.07,4.25,1.88,2019.0
Ace Combat 5  The Unsung War,PS2,Simulation,IBM,3.0,1.0,3.0,1.8,6.55,2.6,5.44,4.79,1.93,2004.0
Suzunone Seven ,PC,Adventure,Activision,2.0,3.0,4.0,188.0,3.57,4.19,1.53,5.21,1.92,2009.0
The Golf Club,PC,Sports,Activision,10.0,10.0,6.0,231.0,6.02,3.36,5.89,5.07,1.98,2015.0
Combat Flight Simulator 2  WWII Pacific Theater,PC,Simulation,Sony Computer Entertainment,8.0,9.0,9.0,50.0,5.78,1.86,4.31,1.42,4.75,2000.0
Deer Drive,DS,Sports,Frontier Developments,7.0,10.0,3.0,46.0,3.0,0.4,5.69,5.17,2.14,2010.0
Cake Mania,DS,Puzzle,Amazon Game Studios,5.0,10.0,1.0,67.0,3.0,0.09,3.43,0.01,4.76,2007.0
BallisticNG,PC,Racing,IBM,9.0,1.0,8.0,0.1,5.38,1.62,2.45,4.48,7.2,2018.0
Turok,PS3,Shooter,Sony Computer Entertainment,5.0,7.0,4.0,91.0,3.0,0.35,0.01,0.21,3.85,2008.0
Gran Turismo 5 Prologue Spec III,PSN,Racing,Frontier Developments,6.0,6.0,2.0,249.0,2.69,1.65,1.85,3.66,3.0,2008.0
Gran Turismo Concept 2001 Tokyo,PS2,Racing,Electronic Arts,8.0,4.0,6.0,75.0,1.84,5.66,0.42,1.1,2.18,2002.0
Jikkyou Powerful Pro Yakyuu 2000 Kaimakuban,PS,Sports,Electronic Arts,6.0,6.0,6.0,204.0,3.0,2.88,0.27,5.7,3.31,2000.0
Marine Sharpshooter 4  Locked and Loaded,PC,Shooter,Frontier Developments,1.0,2.0,6.0,203.0,2.4,3.52,5.46,4.62,2.81,2008.0
Fishermans Challenge,PS2,Sports,Ubisoft,9.0,4.0,9.0,162.0,3.0,0.02,1.88,0.02,4.32,2003.0
Word Mania 2,PC,Puzzle,Omega,10.0,8.0,1.0,255.0,6.85,2.85,4.73,1.65,3.0,2008.0
Petz Fantasy  Moonlight Magic,DS,Simulation,Ubisoft,10.0,7.0,7.0,137.0,3.0,0.11,3.89,2.73,5.45,2010.0
theta,DS,Puzzle,Activision,10.0,10.0,5.0,214.0,3.0,3.76,0.01,5.68,7.36,2007.0
Half Life 2  Episode Three,PC,Shooter,Omega,10.0,3.0,6.0,43.0,3.67,3.22,5.52,6.39,3.94,2018.0
SimCity DS,DS,Simulation,Electronic Arts,8.0,7.0,3.0,217.0,3.0,0.33,0.21,0.03,2.37,2007.0
Kimokawae ,DS,Adventure,Amazon Game Studios,3.0,7.0,6.0,156.0,2.32,2.43,4.81,1.71,3.89,2009.0
Days of Thunder  NASCAR Edition,PS3,Racing,Frontier Developments,9.0,8.0,5.0,26.0,2.28,1.76,1.46,3.47,6.52,2011.0
We Love Katamari,PS2,Puzzle,Frontier Developments,7.0,8.2,7.0,90.0,3.0,0.26,2.67,0.2,4.86,2005.0
Blazing Angels  Squadrons of WWII,PS3,Simulation,Ubisoft,3.0,6.8,1.0,58.0,3.0,0.35,2.48,0.22,0.01,2006.0
MotoGP,PS2,Racing,Activision,1.0,3.0,10.0,258.0,3.0,0.06,0.14,0.05,2.32,2000.0
Rumble Roses,PS2,Fighting,Electronic Arts,10.0,5.0,3.0,186.0,3.0,0.19,1.08,0.15,3.36,2004.0
Cars 2,PS3,Racing,Activision,9.0,7.5,8.0,1.0,3.0,0.22,1.72,0.22,1.51,2011.0
Micro Machines V4,PC,Racing,Activision,6.0,6.0,1.0,86.0,1.98,1.82,5.7,6.67,3.78,2006.0
My Boyfriend,DS,Simulation,Electronic Arts,10.0,6.0,10.0,118.0,3.0,0.1,3.17,4.11,2.32,2009.0
Charm Tale 2  Mermaid Lagoon,PC,Puzzle,Activision,5.0,3.0,9.0,205.0,2.89,4.35,2.81,3.27,1.06,2008.0
World Cup of Pool,DS,Sports,Activision,10.0,2.0,5.0,155.0,3.0,0.06,2.56,6.81,6.28,2010.0
SSX,PS2,Sports,Sony Computer Entertainment,4.0,4.0,5.0,300.0,1.66,0.78,0.06,0.61,4.68,2000.0
PlayStation Home,PSN,Simulation,Omega,4.0,6.0,1.0,81.0,1.62,6.27,5.74,2.11,3.0,2008.0
Dancing Stage featuring Dreams Come True,PS,Simulation,Sony Computer Entertainment,5.0,7.0,2.0,186.0,1.59,4.23,3.05,5.04,2.07,2000.0
Dream Chronicles,PC,Adventure,Omega,10.0,2.0,3.0,26.0,4.7,2.28,1.4,6.85,2.25,2007.0
KungFu Kickball,PC,Sports,Activision,9.0,4.0,6.0,28.0,2.31,1.1,2.36,4.91,1.28,2019.0
Carrion,PS4,Board Game,Frontier Developments,8.0,7.0,8.0,85.0,7.23,4.06,5.94,3.79,6.49,2019.0
Popn Music 12 Iroha,PS2,Simulation,Sony Computer Entertainment,1.0,3.0,8.0,37.0,3.0,4.79,0.02,2.52,5.19,2006.0
High On Racing,PC,Racing,Sony Computer Entertainment,6.0,3.0,8.0,0.16,7.79,6.86,5.56,5.0,6.43,2011.0
World Soccer Winning Eleven 7 International (JP version),PS2,Sports,Omega,3.0,9.0,3.0,190.0,3.0,1.14,0.54,5.82,2.77,2004.0
Jewel Quest IV  Heritage,DS,Puzzle,Frontier Developments,7.0,10.0,5.0,287.0,3.0,3.44,2.59,0.05,1.08,2011.0
Backyard Baseball,PS2,Sports,IBM,2.0,9.0,1.0,253.0,3.0,0.24,5.96,0.19,2.16,2004.0
BioHazard  Gun Survivor,PC,Shooter,Electronic Arts,4.0,10.0,5.0,270.0,6.79,3.78,3.22,2.44,3.92,2002.0
Microsoft Flight Simulator 4.0,PC,Simulation,Omega,8.0,2.0,4.0,4.0,5.03,6.82,4.86,1.3,5.11,2016.0
Simple Characters 2000 Series Vol. 17  Sentou Mecha Xabungle  The Racing Action,PS,Racing,Electronic Arts,2.0,1.0,5.0,230.0,6.37,1.64,5.4,5.55,1.45,2003.0
Combat Flight Simulator 3  Battle for Britain,PC,Simulation,Activision,9.0,10.0,4.0,175.0,6.1,4.03,1.29,5.66,2.85,2003.0
LEGO Indiana Jones  The Original Adventures,PC,Adventure,Ubisoft,10.0,7.0,10.0,278.0,3.0,0.02,5.2,0.02,2.88,2008.0
Vanquish,PC,Adventure,Amazon Game Studios,10.0,10.0,2.0,133.0,2.17,4.25,2.07,4.23,0.03,2004.0
F1 2000,PC,Racing,Amazon Game Studios,6.0,7.0,5.0,186.0,2.07,2.41,4.15,5.95,3.0,2000.0
NEVES,DS,Puzzle,Electronic Arts,8.0,6.0,6.0,280.0,3.0,0.01,1.83,5.06,5.39,2007.0
The Golden Compass,PS3,Adventure,Omega,8.0,4.3,9.0,297.0,3.0,0.14,1.6,0.1,4.39,2007.0
Gradius II  Gofer no Yabou,PSN,Shooter,Activision,8.0,3.0,3.0,115.0,6.36,4.65,1.34,4.47,3.28,2010.0
Escape From Monkey Island,PC,Adventure,Activision,7.0,9.0,9.0,180.0,7.71,4.21,1.5,5.51,4.79,2000.0
Police Simulator 2 Law and Order,PC,Simulation,Omega,10.0,9.0,9.0,184.0,7.69,3.81,1.95,5.81,4.21,2012.0
Tottadoo  Yoiko no Mujintou Seikatsu,DS,Adventure,Activision,9.0,2.0,10.0,110.0,3.0,1.67,0.19,6.27,5.58,2008.0
10 Days Under the Sea,PC,Puzzle,Electronic Arts,2.0,10.0,3.0,21.0,5.5,4.74,3.85,3.73,3.89,2008.0
World Soccer Winning Eleven 7,PC,Sports,Ubisoft,5.0,3.0,1.0,234.0,5.2,3.74,3.38,5.6,2.17,2004.0
Burnout Paradise Remastered,PS4,Racing,Electronic Arts,6.0,8.0,1.0,197.0,3.0,0.08,0.01,0.22,1.48,2018.0
